old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
ABLETON-LIVE-INTRO;ABLT-LIC-LIVE12INTRO-UNI-PERP-USER;Ableton;Ableton Live 12 Intro;LIC;LIVE12INTRO;UNI;PERP;USER;
ABLETON-LIVE-STANDARD;ABLT-LIC-LIVE12STD-UNI-PERP-USER;Ableton;Ableton Live 12 Standard;LIC;LIVE12STD;UNI;PERP;USER;
ABLETON-LIVE-SUITE;ABLT-LIC-LIVE12SUITE-UNI-PERP-USER;Ableton;Ableton Live 12 Suite;LIC;LIVE12SUITE;UNI;PERP;USER;
ACRONIS-CP-ADV-3VM;ACRN-LIC-CPADVANCED-TEAM-1Y-PACK-3VM;Acronis;Acronis Cyber Protect Advanced Public Cloud Virtual Machines, 3 ВМ (1 год);LIC;CPADVANCED;TEAM;1Y;PACK;3VM
ACRONIS-CP-ADV-SERVER;ACRN-LIC-CPADVANCED-TEAM-1Y-SRV-SERVER;Acronis;Acronis Cyber Protect Advanced Server (1 год);LIC;CPADVANCED;TEAM;1Y;SRV;SERVER
ACRONIS-CP-ADV-VHOST;ACRN-LIC-CPADVANCED-TEAM-1Y-SRV-VHOST;Acronis;Acronis Cyber Protect Advanced Virtual Host (1 год);LIC;CPADVANCED;TEAM;1Y;SRV;VHOST
ACRONIS-CP-ADV-WS;ACRN-LIC-CPADVANCED-TEAM-1Y-DEV-WS;Acronis;Acronis Cyber Protect Advanced Workstation / Computer (1 год);LIC;CPADVANCED;TEAM;1Y;DEV;WS
ACRONIS-CP-BACKUP-ADV-EMAIL-5;ACRN-LIC-CPBACKUPADV-TEAM-1Y-PACK-EMAIL5;Acronis;Acronis Cyber Protect Backup Advanced Email Archiving, 5 мест (1 год);LIC;CPBACKUPADV;TEAM;1Y;PACK;EMAIL5
ACRONIS-CP-BACKUP-ADV-GWS-5;ACRN-LIC-CPBACKUPADV-TEAM-1Y-PACK-GWS5;Acronis;Acronis Cyber Protect Backup Advanced Google Workspace, 5 мест (1 год);LIC;CPBACKUPADV;TEAM;1Y;PACK;GWS5
ACRONIS-CP-BACKUP-ADV-M365-5;ACRN-LIC-CPBACKUPADV-TEAM-1Y-PACK-M365X5;Acronis;Acronis Cyber Protect Backup Advanced Microsoft 365, 5 мест (1 год);LIC;CPBACKUPADV;TEAM;1Y;PACK;M365X5
ACRONIS-CP-BACKUP-ADV-3VM;ACRN-LIC-CPBACKUPADV-TEAM-1Y-PACK-3VM;Acronis;Acronis Cyber Protect Backup Advanced Public Cloud Virtual Machines, 3 ВМ (1 год);LIC;CPBACKUPADV;TEAM;1Y;PACK;3VM
ACRONIS-CP-BACKUP-ADV-SERVER;ACRN-LIC-CPBACKUPADV-TEAM-1Y-SRV-SERVER;Acronis;Acronis Cyber Protect Backup Advanced Server (1 год);LIC;CPBACKUPADV;TEAM;1Y;SRV;SERVER
ACRONIS-CP-BACKUP-ADV-VHOST;ACRN-LIC-CPBACKUPADV-TEAM-1Y-SRV-VHOST;Acronis;Acronis Cyber Protect Backup Advanced Virtual Host (1 год);LIC;CPBACKUPADV;TEAM;1Y;SRV;VHOST
ACRONIS-CP-BACKUP-ADV-WS;ACRN-LIC-CPBACKUPADV-TEAM-1Y-DEV-WS;Acronis;Acronis Cyber Protect Backup Advanced Workstation / Computer (1 год);LIC;CPBACKUPADV;TEAM;1Y;DEV;WS
ACRONIS-CP-STANDARD-3VM;ACRN-LIC-CPSTANDARD-TEAM-1Y-PACK-3VM;Acronis;Acronis Cyber Protect Standard Public Cloud Virtual Machines, 3 ВМ (1 год);LIC;CPSTANDARD;TEAM;1Y;PACK;3VM
ACRONIS-CP-STANDARD-SERVER;ACRN-LIC-CPSTANDARD-TEAM-1Y-SRV-SERVER;Acronis;Acronis Cyber Protect Standard Server (1 год);LIC;CPSTANDARD;TEAM;1Y;SRV;SERVER
ACRONIS-CP-STANDARD-VHOST;ACRN-LIC-CPSTANDARD-TEAM-1Y-SRV-VHOST;Acronis;Acronis Cyber Protect Standard Virtual Host (1 год);LIC;CPSTANDARD;TEAM;1Y;SRV;VHOST
ACRONIS-CP-STANDARD-WIN-ESS;ACRN-LIC-CPSTANDARD-TEAM-1Y-SRV-WINESS;Acronis;Acronis Cyber Protect Standard Windows Server Essentials (1 год);LIC;CPSTANDARD;TEAM;1Y;SRV;WINESS
ACRONIS-CP-STANDARD-WS;ACRN-LIC-CPSTANDARD-TEAM-1Y-DEV-WS;Acronis;Acronis Cyber Protect Standard Workstation / Computer (1 год);LIC;CPSTANDARD;TEAM;1Y;DEV;WS
ADOBE-ACRO-PRO;ADBE-LIC-ACROBATPRO-IND-1Y-USER;Adobe;Adobe Acrobat Pro;LIC;ACROBATPRO;IND;1Y;USER;
ADOBE-ACRO-PRO-TEAM;ADBE-LIC-ACROBATPRO-TEAM-1Y-USER;Adobe;Adobe Acrobat Pro для команд;LIC;ACROBATPRO;TEAM;1Y;USER;
ADOBE-ACRO-STD;ADBE-LIC-ACROBATSTD-UNI-1Y-USER;Adobe;Adobe Acrobat Standard;LIC;ACROBATSTD;UNI;1Y;USER;
ADOBE-ACRO-STUDIO;ADBE-LIC-ACROBATSTUD-UNI-1Y-USER;Adobe;Adobe Acrobat Studio;LIC;ACROBATSTUD;UNI;1Y;USER;
ADOBE-AE;ADBE-LIC-AFTEREFFECTS-UNI-1Y-USER;Adobe;Adobe After Effects;LIC;AFTEREFFECTS;UNI;1Y;USER;
ADOBE-ANIMATE;ADBE-LIC-ANIMATE-UNI-1Y-USER;Adobe;Adobe Animate;LIC;ANIMATE;UNI;1Y;USER;
ADOBE-AUDITION;ADBE-LIC-AUDITION-UNI-1Y-USER;Adobe;Adobe Audition;LIC;AUDITION;UNI;1Y;USER;
ADOBE-CC-PRO;ADBE-LIC-CCPRO-IND-1Y-USER;Adobe;Adobe Creative Cloud Pro (все приложения);LIC;CCPRO;IND;1Y;USER;
ADOBE-CC-PRO-TEAM;ADBE-LIC-CCPRO-TEAM-1Y-USER;Adobe;Adobe Creative Cloud Pro для команд (все приложения);LIC;CCPRO;TEAM;1Y;USER;
ADOBE-CC-STD;ADBE-LIC-CCSTD-UNI-1Y-USER;Adobe;Adobe Creative Cloud Standard (все приложения);LIC;CCSTD;UNI;1Y;USER;
ADOBE-SINGLE-TEAM;ADBE-LIC-CCSINGLEAPP-TEAM-1Y-USER;Adobe;Adobe Creative Cloud — одно приложение для команд;LIC;CCSINGLEAPP;TEAM;1Y;USER;
ADOBE-DW;ADBE-LIC-DREAMWEAVER-UNI-1Y-USER;Adobe;Adobe Dreamweaver;LIC;DREAMWEAVER;UNI;1Y;USER;
ADOBE-EXPRESS;ADBE-LIC-EXPRESS-IND-1Y-USER;Adobe;Adobe Express Premium;LIC;EXPRESS;IND;1Y;USER;
ADOBE-EXPRESS-TEAM;ADBE-LIC-EXPRESS-TEAM-1Y-USER;Adobe;Adobe Express для команд;LIC;EXPRESS;TEAM;1Y;USER;
ADOBE-FF-ENTERPRISE;ADBE-LIC-FIREFLYENT-TEAM-1Y-USER;Adobe;Adobe Firefly for enterprise;LIC;FIREFLYENT;TEAM;1Y;USER;
ADOBE-FF-TEAMS;ADBE-LIC-FIREFLYTEAMS-TEAM-1Y-USER;Adobe;Adobe Firefly for teams;LIC;FIREFLYTEAMS;TEAM;1Y;USER;
ADOBE-AI;ADBE-LIC-ILLUSTRATOR-UNI-1Y-USER;Adobe;Adobe Illustrator;LIC;ILLUSTRATOR;UNI;1Y;USER;
ADOBE-INCOPY;ADBE-LIC-INCOPY-UNI-1Y-USER;Adobe;Adobe InCopy;LIC;INCOPY;UNI;1Y;USER;
ADOBE-ID;ADBE-LIC-INDESIGN-UNI-1Y-USER;Adobe;Adobe InDesign;LIC;INDESIGN;UNI;1Y;USER;
ADOBE-LR;ADBE-LIC-LIGHTROOM-UNI-1Y-USER;Adobe;Adobe Lightroom;LIC;LIGHTROOM;UNI;1Y;USER;
ADOBE-PHOTO;ADBE-LIC-PHOTOGRAPHY-UNI-1Y-USER;Adobe;Adobe Photography;LIC;PHOTOGRAPHY;UNI;1Y;USER;
ADOBE-PS;ADBE-LIC-PHOTOSHOP-UNI-1Y-USER;Adobe;Adobe Photoshop;LIC;PHOTOSHOP;UNI;1Y;USER;
ADOBE-PR;ADBE-LIC-PREMIEREPRO-UNI-1Y-USER;Adobe;Adobe Premiere Pro;LIC;PREMIEREPRO;UNI;1Y;USER;
ADOBE-STOCK-10;ADBE-LIC-STOCK-UNI-1Y-PACK-10IMG;Adobe;Adobe Stock (10 изображений в месяц);LIC;STOCK;UNI;1Y;PACK;10IMG
ADOBE-SUBSTANCE;ADBE-LIC-SUBSTANCE3D-IND-1Y-USER;Adobe;Adobe Substance 3D Collection;LIC;SUBSTANCE3D;IND;1Y;USER;
ADOBE-SUBSTANCE-TEAM;ADBE-LIC-SUBSTANCE3D-TEAM-1Y-USER;Adobe;Adobe Substance 3D для команд;LIC;SUBSTANCE3D;TEAM;1Y;USER;
AIRALO-GIFT-CARD;AIRL-GFT-VOUCHER-UNI-BAL-NOM;Airalo;Airalo Voucher (ваучер на eSIM);GFT;VOUCHER;UNI;BAL;NOM;
AIRALO-GIFT-CARD-GLOBAL-10;AIRL-GFT-VOUCHER-UNI-BAL-NOM-GL10;Airalo;Ваучер Airalo 10 USD, Все страны (Global);GFT;VOUCHER;UNI;BAL;NOM;GL10
AIRALO-GIFT-CARD-GLOBAL-20;AIRL-GFT-VOUCHER-UNI-BAL-NOM-GL20;Airalo;Ваучер Airalo 20 USD, Все страны (Global);GFT;VOUCHER;UNI;BAL;NOM;GL20
AIRALO-GIFT-CARD-GLOBAL-5;AIRL-GFT-VOUCHER-UNI-BAL-NOM-GL5;Airalo;Ваучер Airalo 5 USD, Все страны (Global);GFT;VOUCHER;UNI;BAL;NOM;GL5
AIRALO-GIFT-CARD-GLOBAL-50;AIRL-GFT-VOUCHER-UNI-BAL-NOM-GL50;Airalo;Ваучер Airalo 50 USD, Все страны (Global);GFT;VOUCHER;UNI;BAL;NOM;GL50
ANTHROPIC-ENTERPRISE;ANTH-LIC-CLAUDEENT-TEAM-1Y-USER;Anthropic;Claude Enterprise;LIC;CLAUDEENT;TEAM;1Y;USER;
ANTHROPIC-TEAM-PREMIUM;ANTH-LIC-CLAUDETEAM-TEAM-1Y-USER-PREM;Anthropic;Claude Team, Premium seat;LIC;CLAUDETEAM;TEAM;1Y;USER;PREM
ANTHROPIC-TEAM;ANTH-LIC-CLAUDETEAM-TEAM-1Y-USER-STD;Anthropic;Claude Team, Standard seat;LIC;CLAUDETEAM;TEAM;1Y;USER;STD
ANYDESK-NAMESPACE;ANYD-ADD-NAMESPACE-UNI-1Y-ORG;AnyDesk;AnyDesk Add-on Custom Namespace;ADD;NAMESPACE;UNI;1Y;ORG;
ANYDESK-ADVANCED;ANYD-LIC-ADVANCED-TEAM-1Y-USER;AnyDesk;AnyDesk Advanced;LIC;ADVANCED;TEAM;1Y;USER;
ANYDESK-SOLO;ANYD-LIC-SOLO-IND-1Y-USER;AnyDesk;AnyDesk Solo;LIC;SOLO;IND;1Y;USER;
ANYDESK-STANDARD;ANYD-LIC-STANDARD-TEAM-1Y-USER;AnyDesk;AnyDesk Standard;LIC;STANDARD;TEAM;1Y;USER;
APP-STORE-ITUNES-GIFT-CARD;APPL-GFT-APPSTORE-UNI-BAL-NOM;Apple;Apple App Store & iTunes Gift Card;GFT;APPSTORE;UNI;BAL;NOM;
APP-STORE-ITUNES-GIFT-CARD-RU-1000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU1000;Apple;Apple Gift Card 1000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU1000
APP-STORE-ITUNES-GIFT-CARD-TR-1000;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR1000;Apple;Apple Gift Card 1000 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR1000
